ID,Type,X,Y,Connections,(paths)
0,St,293.3,758.1,1,1
1,A,328.3,702.1,5,0,0300,0301,4,51
0300,C,350,741.3,1,1
0301,C,373.8,730.1,1,1
4,A,483,688.1,5,1,0302,0303,0304,7
0302,C,475.3,711.9,1,4
0303,C,496.3,713.3,1,4
7,A,597.8,690.2,4,4,0304,0305,10
0304,C,583.8,709.1,1,7
0305,C,606.9,711.2,1,7
10,A,660.1,688.1,3,7,0308,12
0308,C,679.7,665,1,10
12,A,664.3,728.7,4,10,0306,0307,15
0306,C,679.7,742.7,1,12
0307,C,681.1,720.3,1,12
15,St,665.7,802.2,1,12
16,A,664.3,455.7,6,0313,0314,0315,0316,0317,22
0313,C,644.7,464.1,1,16
0314,C,685.3,457.8,1,16
0315,C,644,440.3,1,16
0316,C,695.8,443.8,1,16
0317,C,683.9,422.8,1,16
22,A,662.9,354.2,3,16,0318,24
0318,C,683.2,354.9,1,22
24,P,662.9,291.2,2,22,25
25,St,749,289.1,1,24
26,A,662.2,258.3,4,24,0319,0320,28
0319,C,732.2,210,1,26
0320,C,644,233.8,1,26
29,A,566.3,277.9,5,26,0321,0322,0324,0325
0321,C,590.8,252.7,1,29
0322,C,562.8,254.8,1,29
0324,C,571.2,308.7,1,29
0325,C,550.2,307.3,1,29
34,A,455,294,4,29,0323,36,37
0323,C,476,270.9,1,34
36,St,445.9,324.8,1,34
37,P,345.1,289.1,3,34,38,42
38,A,343,247.8,4,37,0326,0327,0328
0326,C,326.2,235.9,1,38
0327,C,357,226.1,1,38
0328,C,328.3,259,1,38
42,A,345.8,396.9,4,37,0331,0333,45
0331,C,359.1,377.3,1,42
0333,C,364.7,401.8,1,42
45,A,345.1,436.1,5,42,0330,0332,0334,49
0330,C,324.1,406.7,1,45
0332,C,326.2,431.9,1,45
0334,C,324.1,457.8,1,45
49,A,343.7,489.3,3,45,0335,51
0335,C,363.3,487.2,1,49
51,A,340.2,604.8,5,49,0339,0340,54,1
0339,C,357,634.2,1,51
0340,C,326.9,632.1,1,51
54,P,259.7,602.7,2,51,55
55,P,259,553,2,54,56
56,A,121.1,555.1,5,55,0341,0342,0343,60
0341,C,181.3,560.7,1,56
0342,C,130.9,569.8,1,56
0343,C,111.3,573.3,1,56
60,St,74.9,560,1,56
